Text,label
Get fucking real dude.,AG
She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like  ...,AG
why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.,AG
Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.,AG
WTF are you talking about Men? No men thats not a menage  that's just gay.,AG
Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.,AG
Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did,AG
...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol,AG
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",AG
LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.,AG
truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's,AG
Shakespeare nerd!,AG
you are SUCH a fucking dork,AG
Heh. Fuck 'em WHERE?!?,AG
damn it i totally forgot that one!,AG
wow  damn I would have been pissed @ that...,AG
nigga u geigh lmao! fuck yo finals beeeeeitch,AG
that sucks :(,AG
"read that this morning. my fav is how they just straight up say ""cum shots""",AG
Unibroue 17 !!!! Another damn good Unibroue,AG
damn your evil 60 minute IPA beckoning me from the fridge right now...,AG
It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.,AG
it pretty much is a fuck you card..,AG
that karma is a bitch  HUH,AG
don't get too fat or you'll turn into a boomer,AG
the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.,AG
except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?,AG
man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.,AG
hard to kick ass yourself with slippers on?  On it.,AG
Thats pretty damn awesome! Very smart :) @Aaronage Sure!,AG
freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool,AG
Damn  that sounds good...,AG
they should have a wii loser..that way you can compete with your wii friends.,AG
@markmancao haha. i love it! gay nights for all!,AG
that's awesome! you're pretty damn good!,AG
Faggoty fag fag. Gay secks man blowjob. Settle down.,AG
Right. That wouldn't be creepy as fuck.,AG
HOLY SHIT. Fuck that band.,AG
Gay fag.,AG
oh ok it's the dick-in-a-box guys  that explains the timberlake appearance,AG
*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?,AG
